"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"06039000","制花束或装饰用的插花及花蕾（鲜的除外）","420","法属圭亚那","1","千克","24","枝","9",
"14011000","竹","420","法属圭亚那","66","千克","0","?","56",
"34060000","各种蜡烛及类似品","420","法属圭亚那","8","千克","0","?","25",
"35061000","零售包装每件净重≤1kg的胶","420","法属圭亚那","0","千克","0","?","8",
"39172900","其他塑料制硬管","420","法属圭亚那","6","千克","0","?","22",
"39174000","塑料制的管子附件","420","法属圭亚那","4","千克","0","?","20",
"39189010","其他塑料制糊墙品","420","法属圭亚那","981","千克","0","?","7,218",
"39191010","宽≤20cm丙烯酸聚合物成卷胶粘板、片、膜等","420","法属圭亚那","0","千克","0","?","3",
"39191099","其他宽≤20cm成卷塑料胶粘板、片、膜、箔等","420","法属圭亚那","426","千克","0","?","3,102",
"39199090","未列名塑料胶粘板、片、膜、箔等","420","法属圭亚那","95","千克","0","?","450",
"39201090","其他乙烯聚合物非泡沫塑料板、片、膜、箔等","420","法属圭亚那","2880","千克","0","?","4,654",
"39221000","塑料浴缸、淋浴盘、洗涤槽及盥洗盆","420","法属圭亚那","14","千克","0","?","72",
"39231000","供运输或包装货物用的塑料盒、箱及类似品","420","法属圭亚那","2183","千克","0","?","8,977",
"39232900","供运输或包装货物用的其他塑料制袋及包","420","法属圭亚那","10477","千克","0","?","57,859",
"39233000","供运输或包装货物用的塑料坛、瓶及类似品","420","法属圭亚那","0","千克","0","?","3",
"39235000","塑料塞子、盖子及类似品","420","法属圭亚那","1259","千克","0","?","7,365",
"39239000","供运输或包装货物用的其他塑料制品","420","法属圭亚那","320","千克","0","?","4,340",
"39241000","塑料制餐具及厨房用具","420","法属圭亚那","19251","千克","0","?","73,015",
"39249000","塑料制其他家庭用具及卫生或盥洗用具","420","法属圭亚那","141","千克","0","?","455",
"39259000","未列名的建筑用塑料制品","420","法属圭亚那","603","千克","0","?","711",
"39261000","塑料制办公室或学校用品","420","法属圭亚那","8","千克","0","?","14",
"39262019","其他塑料制手套（分指手套、连指手套等）","420","法属圭亚那","1542","千克","37000","双","9,250",
"39264000","塑料制小雕塑品及其他装饰品","420","法属圭亚那","332","千克","0","?","2,577",
"39269090","未列名塑料制品","420","法属圭亚那","717","千克","0","?","1,560",
"40070000","硫化橡胶线及绳","420","法属圭亚那","1825","千克","0","?","6,661",
"42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","420","法属圭亚那","6968","千克","2778","个","43,230",
"42029200","以塑料片或纺织材料作面的其他类似容器","420","法属圭亚那","236","千克","2800","个","1,483",
"42029900","以其他材料作面的其他类似容器","420","法属圭亚那","15","千克","48","个","73",
"44149090","其他木制的画框、相框、镜框及类似品
","420","法属圭亚那","32","千克","0","?","51",
"44182900","非热带木制门及其框架和门槛","420","法属圭亚那","6","千克","0","?","29",
"44201990","其他木制小雕像及装饰品
","420","法属圭亚那","24","千克","0","?","128",
"44219990","未列名木制品","420","法属圭亚那","81","千克","0","?","216",
"46012921","苇帘","420","法属圭亚那","140","千克","20","张","135",
"46012990","其他植物材料制的席子、席料及帘子","420","法属圭亚那","25","千克","10","张","260",
"46019290","竹制其他平行连结或编结的产品","420","法属圭亚那","96","千克","0","?","92",
"46021910","草制篮筐及其他编结品","420","法属圭亚那","40","千克","0","?","176",
"48022010","照相原纸","420","法属圭亚那","23","千克","0","?","2",
"48099000","复写纸及其他拷贝或转印纸，成卷或成张的","420","法属圭亚那","26","千克","0","?","2",
"48102900","其他高岭土及其他无机物涂布的书写、印刷纸，机械纤维＞10%","420","法属圭亚那","23351","千克","0","?","21,040",
"48182000","纸手帕及面巾纸","420","法属圭亚那","5","千克","0","?","6",
"48201000","帐本、笔记本、收据本、日记本及类似品","420","法属圭亚那","4","千克","0","?","36",
"49030000","儿童图画书、绘画或涂色书","420","法属圭亚那","2","千克","0","?","6",
"53072000","黄麻或5303其他纺织用韧皮纤维多股纱或缆线","420","法属圭亚那","98","千克","0","?","241",
"54072000","合成纤维长丝扁条及类似品的布","420","法属圭亚那","2000","米","745","千克","1,540",
"54077300","含其他合成纤维长丝≥85％色织的机织物","420","法属圭亚那","360","米","32","千克","49",
"56039290","未浸涂其他材料无纺织物，25g＜平米重≤70g","420","法属圭亚那","67","千克","0","?","106",
"56090000","纱线、5404或5405扁条或线绳索缆制其他物品","420","法属圭亚那","52","千克","0","?","88",
"57050020","化纤制未列名地毯及铺地制品","420","法属圭亚那","1437","千克","1927","平方米","10,759",
"58063990","其他纺织材料制未列名狭幅机织物","420","法属圭亚那","60","千克","0","?","168",
"61034300","合成纤维制针织或钩编的男裤","420","法属圭亚那","422","条","93","千克","1,030",
"61099090","未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心","420","法属圭亚那","620","件","110","千克","1,550",
"62122010","化纤制腹带","420","法属圭亚那","2","件","1","千克","17",
"62123010","化纤制紧身胸衣","420","法属圭亚那","3","件","1","千克","25",
"62129010","化纤制吊裤带、吊袜带、束袜带和类似品","420","法属圭亚那","7","件","2","千克","85",
"63022290","化纤制未列名印花床上用织物制品","420","法属圭亚那","432","条","77","千克","566",
"63025390","化纤制其他非针织或钩编餐桌用织物制品","420","法属圭亚那","48","件","7","千克","49",
"63029300","化纤制盥洗及厨房用织物制品","420","法属圭亚那","2220","条","503","千克","3,663",
"63039200","合纤非针织或钩编的窗帘、帐幔、帘帷及床帷","420","法属圭亚那","2356","千克","0","?","18,033",
"63049390","合纤制非针织或钩编的未列名装饰织物制品","420","法属圭亚那","1471","千克","0","?","11,010",
"63053300","其他聚乙烯、聚丙烯扁条等材料制货物包装袋","420","法属圭亚那","24","条","9","千克","36",
"63061200","合成纤维制油苫布、天蓬及遮阳蓬","420","法属圭亚那","196","件","178","千克","848",
"63061990","其他纺织材料制油苫布、天篷及遮阳篷","420","法属圭亚那","30","件","56","千克","185",
"63069010","棉制其他野营用品","420","法属圭亚那","22","件","35","千克","117",
"63071000","擦地布、擦碗布、抹布及类似擦拭用布","420","法属圭亚那","171","千克","0","?","497",
"63079090","第一分章的未列名制成品，包括服装裁剪样","420","法属圭亚那","95","千克","222","个","396",
"64029929","未列名塑料制鞋面的鞋靴","420","法属圭亚那","2185","千克","7516","双","17,287",
